HARRIS,BRISK, 12, 10, 14, 15, 16, 16, 15, 23, 21
HARRIS,BRIEF, 14, 11, 15, 20, 24, 26, 16, 24, 23
HARRIS,ORB, 12, 12, 15, 18, 24, 20, 15, 24, 22
HARRIS,FREAK, 13, 13, 15, 15, 17, 20, 12, 21, 18
HARRIS,SIFT, 0, 0, 0, 0, 0, 0, 0, 0, 0
FAST,BRISK, 256, 243, 241, 239, 215, 251, 248, 243, 247
FAST,BRIEF, 320, 332, 299, 331, 276, 327, 324, 315, 307
FAST,ORB, 307, 308, 298, 321, 283, 315, 323, 302, 311
FAST,FREAK, 251, 247, 233, 255, 231, 265, 251, 253, 247
FAST,SIFT, 0, 0, 0, 0, 0, 0, 0, 0, 0
BRISK,BRISK, 151, 163, 146, 173, 150, 162, 182, 183, 161
BRISK,BRIEF, 178, 205, 185, 179, 183, 195, 207, 189, 183
BRISK,ORB, 169, 199, 175, 187, 179, 185, 200, 203, 178
BRISK,FREAK, 144, 162, 147, 170, 148, 172, 173, 178, 166
BRISK,SIFT, 0, 0, 0, 0, 0, 0, 0, 0, 0
ORB,BRISK, 48, 46, 57, 61, 56, 68, 64, 80, 73
ORB,BRIEF, 49, 43, 45, 59, 53, 78, 68, 84, 66
ORB,ORB, 49, 46, 58, 58, 52, 75, 67, 83, 74
ORB,FREAK, 42, 43, 52, 52, 58, 63, 58, 75, 69
ORB,SIFT, 0, 0, 0, 0, 0, 0, 0, 0, 0
AKAZE,BRISK, 135, 121, 128, 126, 126, 133, 137, 144, 143
AKAZE,BRIEF, 141, 134, 131, 130, 134, 146, 150, 148, 152
AKAZE,ORB, 139, 134, 132, 124, 139, 141, 144, 157, 150
AKAZE,FREAK, 126, 126, 130, 117, 126, 128, 147, 146, 133
AKAZE,SIFT, 0, 0, 0, 0, 0, 0, 0, 0, 0
SIFT,BRISK, 62, 62, 63, 63, 56, 60, 60, 66, 71
SIFT,BRIEF, 86, 78, 76, 85, 69, 74, 76, 70, 88
SIFT,ORB, 81, 76, 76, 77, 68, 66, 72, 78, 87
SIFT,FREAK, 65, 70, 64, 64, 61, 60, 63, 66, 76
SIFT,SIFT, 0, 0, 0, 0, 0, 0, 0, 0, 0
